Lote,Ano,Mes,Dia,Hora,Minuto,Segundo,Local,Faixa,Entrefaixa,Registro,Tipo de Registro,Placa,Especie,Classe,Comprimento,Velocidade,Ocupacao,Velocidade Media;
L1,2017,12,31,23,56,31,6601,1,0,0155620,0,       ,1,0,038,108,01025,000;
L1,2017,12,31,23,58,23,6601,1,0,0155621,0,DIP9412,1,0,035,063,01561,000;
L1,2017,12,31,23,59,27,6601,1,0,0155622,0,       ,0,0,005,100,00776,000;
L1,2017,12,31,23,59,42,6601,1,0,0155623,0,       ,2,1,138,080,02565,000;
L1,2017,12,31,23,59,48,6601,1,0,0155624,0,DTY4727,1,0,037,102,01035,000;
L1,2017,12,31,23,59,56,6601,1,0,0155625,0,       ,0,0,008,119,00723,000;
L1,2017,12,31,23,56,31,6601,1,0,0155620,0,       ,1,0,038,108,01025,000;
L1,2017,12,31,23,58,23,6601,1,0,0155621,0,DIP9412,1,0,035,063,01561,000;
L1,2017,12,31,23,59,27,6601,1,0,0155622,0,       ,0,0,005,100,00776,000;
L1,2017,12,31,23,59,42,6601,1,0,0155623,0,       ,2,1,138,080,02565,000;
L1,2017,12,31,23,59,48,6601,1,0,0155624,0,DTY4727,1,0,037,102,01035,000;
L1,2017,12,31,23,59,56,6601,1,0,0155625,0,       ,0,0,008,119,00723,000;
L1,2017,12,31,23,56,31,6601,1,0,0155620,0,       ,1,0,038,108,01025,000;
L1,2017,12,31,23,58,23,6601,1,0,0155621,0,DIP9412,1,0,035,063,01561,000;
L1,2017,12,31,23,59,27,6601,1,0,0155622,0,       ,0,0,005,100,00776,000;
L1,2017,12,31,23,59,42,6601,1,0,0155623,0,       ,2,1,138,080,02565,000;
L1,2017,12,31,23,59,48,6601,1,0,0155624,0,DTY4727,1,0,037,102,01035,000;
L1,2017,12,31,23,59,56,6601,1,0,0155625,0,       ,0,0,008,119,00723,000;
L1,2018,01,01,00,00,00,6601,1,0,0000001,0,       ,0,0,012,169,00591,000;
L1,2018,01,01,00,00,33,6601,1,0,0000002,0,       ,1,0,036,080,01259,000;
L1,2018,01,01,00,00,48,6601,1,0,0000003,0,CCD7530,1,0,035,072,01411,000;
L1,2018,01,01,00,02,34,6601,1,0,0000004,0,       ,0,0,012,211,00523,000;
L1,2018,01,01,00,04,37,6601,1,0,0000005,0,       ,1,0,043,105,01084,000;
L1,2018,01,01,00,06,02,6601,1,0,0000006,0,       ,2,1,083,091,01666,000;
L1,2018,01,01,00,06,41,6601,1,0,0000007,0,       ,1,0,033,058,01696,000;
L1,2018,01,01,00,08,11,6601,1,0,0000008,0,       ,0,0,031,075,01384,000;
L1,2018,01,01,00,09,15,6601,1,0,0000009,0,DHT2242,1,0,037,088,01221,000;
L1,2018,01,01,00,09,55,6601,1,0,0000010,0,EZG0971,1,0,037,077,01315,000;
L1,2018,01,01,00,10,54,6601,1,0,0000011,0,       ,1,0,036,088,01182,000;
L1,2018,01,01,00,12,11,6601,1,0,0000012,0,       ,1,0,036,072,01464,000;
L1,2018,01,01,00,12,29,6601,1,0,0000013,0,       ,1,0,040,080,01319,000;
L1,2018,01,01,00,12,44,6601,1,0,0000014,0,CWO8464,1,0,036,083,01242,000;
L1,2018,01,01,00,14,01,6601,1,0,0000015,0,EVX3585,1,0,041,080,01533,000;
L1,2018,01,01,00,14,04,6601,1,0,0000016,0,       ,1,0,036,102,01020,000;
L1,2018,01,01,00,14,45,6601,1,0,0000017,0,       ,1,0,037,072,01429,000;
L1,2018,01,01,00,15,43,6601,1,0,0000018,0,       ,1,0,040,094,01169,000;
